timestamp_utc,elapsed_time_s,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-20T21:55:42.146876+00:00,0.0,3,1,210,32,4480,True,176,70271.76,22.73,49.99,99878.3,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:55:42.533017+00:00,0.391,3,2,265,2,280,True,176,35020.52,24.03,47.19,99889.55,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:55:46.851345+00:00,4.312,3,3,265,30,4200,True,176,90941.38,25.79,47.42,99920.57,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:55:47.239915+00:00,0.391,3,4,320,2,280,True,176,54584.22,25.39,46.04,99923.91,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:55:51.556438+00:00,4.328,3,5,320,30,4200,True,176,135306.55,26.47,46.27,99927.27,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:55:56.151033+00:00,4.594,3,6,265,32,4480,True,176,156240.47,25.69,45.31,99923.01,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:00.743588+00:00,4.594,3,7,210,32,4480,True,176,161259.84,24.57,45.46,99894.1,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:05.329889+00:00,4.578,3,8,155,32,4480,True,176,263510.03,24.44,45.8,99891.72,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:09.924921+00:00,4.594,3,9,100,32,4480,True,176,697785.38,24.28,46.25,99889.72,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:14.518343+00:00,4.593,3,10,155,32,4480,True,176,180154.83,24.0,46.91,99889.0,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:24.113202+00:00,9.594,4,1,210,32,4480,True,176,71869.73,22.86,49.6,99877.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:24.500286+00:00,0.391,4,2,265,2,280,True,176,36301.76,24.15,46.9,99893.22,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:28.812237+00:00,4.312,4,3,265,30,4200,True,176,97616.78,25.92,47.12,99919.05,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:29.200817+00:00,0.391,4,4,320,2,280,True,176,58394.16,25.49,45.64,99921.63,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:33.505206+00:00,4.297,4,5,320,30,4200,True,176,144225.36,26.56,45.86,99927.88,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:38.099651+00:00,4.593,4,6,265,32,4480,True,176,162333.55,25.87,44.84,99923.91,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:42.686314+00:00,4.594,4,7,210,32,4480,True,176,165642.19,24.67,45.13,99892.59,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:47.272822+00:00,4.578,4,8,155,32,4480,True,176,270398.72,24.54,45.45,99891.3,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:51.861162+00:00,4.594,4,9,100,32,4480,True,176,723674.94,24.37,45.91,99890.82,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:56:56.452581+00:00,4.594,4,10,155,32,4480,True,176,184438.05,24.11,46.51,99890.18,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:06.047369+00:00,9.594,5,1,210,32,4480,True,176,73101.09,23.0,49.14,99882.36,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:06.437118+00:00,0.39,5,2,265,2,280,True,176,37122.97,24.33,46.46,99893.37,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:10.742180+00:00,4.297,5,3,265,30,4200,True,176,100727.91,26.08,46.68,99924.3,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:11.133246+00:00,0.391,5,4,320,2,280,True,176,60721.06,25.74,45.21,99926.47,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:15.447966+00:00,4.328,5,5,320,30,4200,True,176,150190.67,26.75,45.42,99932.05,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:20.030946+00:00,4.578,5,6,265,32,4480,True,176,165161.3,25.98,44.43,99925.52,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:24.620949+00:00,4.594,5,7,210,32,4480,True,176,167429.69,24.86,44.69,99897.56,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:29.216080+00:00,4.593,5,8,155,32,4480,True,176,275416.91,24.71,45.05,99893.3,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:33.802951+00:00,4.579,5,9,100,32,4480,True,176,732213.06,24.52,45.47,99892.01,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:38.391272+00:00,4.593,5,10,155,32,4480,True,176,185440.06,24.25,46.07,99890.01,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:47.990761+00:00,9.594,6,1,210,32,4480,True,176,73289.44,23.1,48.98,99886.15,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:48.377432+00:00,0.391,6,2,265,2,280,True,176,37415.96,24.41,46.2,99891.36,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:52.694486+00:00,4.312,6,3,265,30,4200,True,176,102790.6,26.18,46.42,99920.66,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:53.084554+00:00,0.391,6,4,320,2,280,True,176,62271.95,25.75,44.94,99920.12,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:57:57.388715+00:00,4.312,6,5,320,30,4200,True,176,155528.55,26.83,45.16,99926.86,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:58:01.980351+00:00,4.594,6,6,265,32,4480,True,176,168421.05,26.14,44.11,99920.15,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:58:06.577139+00:00,4.594,6,7,210,32,4480,True,176,169761.27,24.93,44.46,99893.45,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-20T21:58:11.175701+00:00,4.594,6,8,155,32,4480,True,176,277431.59,24.79,44.79,99896.07,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Cleaning,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
