timestamp_utc,elapsed_time_s,cycle_index,step_index,commanded_heater_temp_C,step_duration_ticks,step_duration_ms,heater_heat_stable,sensor_status_raw,gas_resistance_ohm,sensor_temperature_C,sensor_humidity_RH,pressure_Pa,backend,i2c_addr,sample_name,specimen_id,storage,notes,profile_name,profile_hash
2025-10-22T14:51:18.640418+00:00,0.0,3,1,210,32,4480,True,176,137155.11,26.72,40.74,100337.98,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:19.029503+00:00,0.391,3,2,265,2,280,True,176,59953.16,28.01,38.38,100349.39,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:23.340571+00:00,4.312,3,3,265,30,4200,True,176,104170.91,29.72,38.53,100379.61,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:23.728669+00:00,0.391,3,4,320,2,280,True,176,51302.61,29.43,37.42,100382.3,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:28.034641+00:00,4.297,3,5,320,30,4200,True,176,107925.8,30.41,37.58,100380.9,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:32.626827+00:00,4.594,3,6,265,32,4480,True,176,186453.02,29.76,36.75,100385.37,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:37.214733+00:00,4.593,3,7,210,32,4480,True,176,294676.25,28.54,37.09,100351.23,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:41.801743+00:00,4.579,3,8,155,32,4480,True,176,611525.81,28.41,37.34,100352.61,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:46.398512+00:00,4.593,3,9,100,32,4480,True,176,1777392.0,28.25,37.74,100350.57,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:51:50.987460+00:00,4.594,3,10,155,32,4480,True,176,473964.38,27.95,38.24,100348.38,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:00.578166+00:00,9.594,4,1,210,32,4480,True,176,150058.61,26.82,40.71,100341.45,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:00.971317+00:00,0.39,4,2,265,2,280,True,176,65523.42,28.19,38.38,100351.12,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:05.281590+00:00,4.313,4,3,265,30,4200,True,176,115133.8,29.89,38.5,100385.45,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:05.672411+00:00,0.391,4,4,320,2,280,True,176,57605.76,29.56,37.28,100382.02,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:09.987066+00:00,4.312,4,5,320,30,4200,True,176,122840.69,30.56,37.43,100387.2,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:14.579389+00:00,4.594,4,6,265,32,4480,True,176,212360.02,29.84,36.5,100385.92,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:19.163180+00:00,4.578,4,7,210,32,4480,True,176,327470.41,28.68,36.62,100354.24,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:23.751566+00:00,4.594,4,8,155,32,4480,True,176,683122.06,28.59,36.87,100355.1,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:28.340927+00:00,4.593,4,9,100,32,4480,True,176,2014756.5,28.4,37.24,100351.14,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:32.926675+00:00,4.579,4,10,155,32,4480,True,176,521783.44,28.12,37.74,100345.35,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
2025-10-22T14:52:42.524535+00:00,9.593,5,1,210,32,4480,True,176,160050.02,27.02,39.97,100340.5,coines,0x76,Natural Air > Inside,Natural Air > Inside,countertop,Before Coffee Test,HP-502-5sDwell,66445e88f001593fb419479e549f4fa07d7cc84b
